sampleID,reads.in,reads.out,no.chim
PD_SA_Fr_04,73387,48662,42718
PD_SA_Fr_05,59697,39290,33989
PD_SA_Fr_06,74796,52890,44135
PD_SA_Fr_07,71217,50250,44118
PD_SA_Fr_08,68471,47894,33498
PD_SA_Fr_09,77882,51869,46419
PD_SA_Fr_10,63211,42607,35312
PD_SA_Le_01,46208,32706,28640
PD_SA_Le_02,72256,51423,41671
PD_SA_Le_03,78267,54718,48634
PD_SA_Le_04,86902,57638,51499
PD_SA_Le_05,95084,66963,59051
PD_SA_Le_06,60377,41417,36957
PD_SA_Le_07,61025,41790,32992
PD_SA_Le_08,61788,41231,35737
PD_SA_Le_09,81299,54487,47004
PD_SA_Le_10,77716,51749,43672
PD_SA_Pn_01,66951,46323,37810
PD_SA_Pn_02,81260,52929,43227
PD_SA_Pn_03,82425,56043,47836
PD_SA_Pn_04,73782,45973,39789
PD_SA_Pn_05,65357,43292,36513
PD_SA_Pn_06,61402,41666,35438
PD_SA_Pn_07,85109,56071,42845
PD_SA_Pn_08,64398,42953,34623
PD_SA_Pn_09,87912,60702,54267
PD_SA_Pn_10,80752,52593,45766
PD_SA_So_01,75063,40043,16314
PD_SA_So_02,99120,53498,21905
PD_SA_So_03,112912,55035,28909
PD_SA_So_04,99920,59843,25232
PD_SA_So_05,104364,57556,25448
PD_SA_So_06,106620,59201,30412
PD_SA_So_07,103346,57048,23939
PD_SA_So_08,107342,59468,26877
PD_SA_So_09,77011,42345,18400
PD_SA_So_10,129767,67497,26824
SA_BLANK_01,15684,7042,5268
SA_BLANK_02,9690,4414,3386
SA_BLANK_03,19069,7893,6060
SA_BLANK_04,14835,3615,2670
SA_BLANK_05,23425,11226,7652
SA_BLANK_06,17764,9023,6951
BLANK_07,10513,3243,2608
BLANK_08,30521,2956,2436
BLANK_09,10462,2415,1742
BLANK_092,23615,8070,5708
BLANK_10,18786,9213,6179
CJawa_SA_Fr_07,86905,63186,51358
CJawa_SA_Fr_08,83282,59137,50127
CJawa_SA_Fr_09,101365,71942,58144
CJawa_SA_Fr_10,54144,38115,30872
CJawa_SA_So_01,114775,69746,30952
CJawa_SA_So_02,130208,74549,34429
CJawa_SA_So_03,165365,96287,44453
CJawa_SA_So_04,137476,82559,35880
CJawa_SA_So_05,89267,49310,20659
CJawa_SA_So_06,124919,81693,37433
